country,job_role,ai_specialization,experience_level,experience_years,salary_usd,education_required,industry,company_size,year,work_mode,company_rating,job_openings,hiring_difficulty_score,layoff_risk,ai_adoption_score,company_funding_billion,economic_index,ai_maturity_years,vacation_days,skill_demand_score,automation_risk,job_security_score,career_growth_score,work_life_balance_score,promotion_speed,salary_percentile,cost_of_living_index,employee_satisfaction
UK,Computer Vision Engineer,Computer Vision,Entry,1,79895,Bachelor,Gaming,Enterprise,2025,Remote,3.36,19,56.01999447,0.419,100,4.99,73.01,5,25,63,9,60,91,82,25,4,0.52,72
Netherlands,AI Engineer,MLOps,Senior,7,99634,Diploma,Consulting,Startup,2022,Onsite,3.57,21,59.1077677,0.084,83,1.27,50.78,4,12,11,71,78,58,51,69,58,2.21,74
UAE,NLP Engineer,LLM,Entry,1,71305,Bootcamp,Education,Small,2025,Hybrid,4.5,36,48.12555574,0.401,89,4.15,65.72,3,12,6,22,62,60,97,36,81,0.82,87
Japan,NLP Engineer,Computer Vision,Senior,6,93662,PhD,Retail,Enterprise,2025,Onsite,4.24,16,77.34418017,0.078,62,0.79,61.97,8,11,66,62,80,32,89,40,96,2.36,91
USA,Computer Vision Engineer,Analytics,Lead,12,210755,PhD,Consulting,Medium,2021,Remote,4,16,67.4092385,0.157,67,0.55,99.42,4,24,6,99,70,50,56,29,57,2.09,81
UAE,Software Engineer AI,MLOps,Mid,4,87853,Diploma,Automotive,Enterprise,2024,Onsite,3.6,12,20.84682064,0.22,66,3.45,59.06,5,24,57,52,76,49,72,37,47,1.64,70
France,Software Engineer AI,LLM,Entry,1,59228,Diploma,Energy,Small,2020,Remote,3.74,17,70.02248344,0.385,72,4.18,50.23,9,21,13,24,79,54,54,48,89,2.41,61
Netherlands,Research Scientist,Generative AI,Senior,7,108982,Master,Automotive,Medium,2026,Onsite,3.4,12,71.23758398,0.147,69,1.97,65.32,8,21,56,85,82,49,60,57,27,0.83,73
India,NLP Engineer,NLP,Senior,6,35947,PhD,Gaming,Enterprise,2023,Remote,3.93,32,57.86701889,0.081,69,5.45,94.18,8,15,2,80,82,58,72,16,92,1.42,68
Australia,Computer Vision Engineer,Reinforcement Learning,Mid,2,90847,Master,Retail,Large,2020,Onsite,3.81,2,41.57476645,0.229,100,2.18,52,9,14,11,14,72,61,55,22,10,1.43,66
India,Software Engineer AI,Analytics,Lead,14,49768,Master,Education,Startup,2024,Hybrid,3.95,6,69.91818654,0.103,91,8.1,92.99,7,18,59,3,80,84,70,53,89,0.61,75
Germany,Data Analyst,Analytics,Lead,17,103491,Master,Retail,Startup,2021,Remote,4.46,25,45.2697693,0.005,78,1.85,98.98,8,14,31,39,79,60,54,56,72,0.54,72
Canada,Data Analyst,Generative AI,Senior,9,79967,Bootcamp,Tech,Medium,2021,Hybrid,3.48,24,49.09681845,0.101,45,2.26,80.58,13,16,19,71,83,35,67,63,17,2.46,74
USA,Computer Vision Engineer,NLP,Entry,1,104438,Bachelor,Telecom,Large,2025,Remote,3.38,7,24.08477415,0.392,72,2.65,55.68,3,24,71,13,58,49,56,27,50,2.31,69
UAE,Machine Learning Engineer,MLOps,Entry,0,62724,Bootcamp,Tech,Enterprise,2026,Hybrid,4.37,18,31.1448801,0.31,67,7.89,99.5,3,14,74,41,75,71,78,42,21,2.16,77
Canada,Data Scientist,NLP,Mid,5,108036,Bachelor,Finance,Medium,2020,Hybrid,4.42,20,37.92634712,0.171,49,3.31,93.68,8,21,68,24,75,31,72,23,54,2.43,70
Australia,Data Scientist,Reinforcement Learning,Senior,8,125168,Bachelor,Consulting,Startup,2025,Remote,4.78,16,39.3291306,0.105,48,1.72,86.3,11,14,82,28,69,31,82,79,77,0.54,80
UK,Research Scientist,Analytics,Entry,1,77346,Bachelor,Education,Enterprise,2026,Remote,3.83,11,82.47735507,0.461,77,9.15,95.35,4,22,34,74,63,78,83,25,9,2.28,72
Germany,Research Scientist,Generative AI,Senior,11,124156,Master,Tech,Medium,2024,Remote,3.34,19,20.9581187,0.097,86,7.65,55.79,14,26,52,76,85,81,63,51,95,0.87,70
Singapore,NLP Engineer,Reinforcement Learning,Lead,15,142908,PhD,Consulting,Large,2023,Hybrid,3.21,6,42.67805423,0.19,87,8.17,88.95,5,27,7,87,89,75,73,67,72,0.83,84
India,Computer Vision Engineer,MLOps,Senior,6,45853,Diploma,Finance,Small,2021,Onsite,4.53,10,51.24193934,0.151,73,7.64,83.74,10,12,83,27,82,54,65,40,79,2.27,64
UAE,Machine Learning Engineer,Forecasting,Senior,6,104977,Diploma,Education,Startup,2021,Remote,3.94,9,55.05157215,0.051,74,5.29,91.49,12,30,33,49,79,62,49,31,32,1.58,67
Australia,Computer Vision Engineer,NLP,Lead,18,200188,Master,Healthcare,Large,2024,Remote,4.1,19,76.62648096,0.093,71,0.94,81.59,9,18,79,67,81,47,83,67,50,0.81,89
Singapore,Data Analyst,LLM,Entry,0,56894,Diploma,Energy,Medium,2026,Remote,4.67,18,66.94068154,0.379,87,2.56,74.21,13,11,75,7,58,63,90,12,10,1.42,75
Canada,Machine Learning Engineer,MLOps,Mid,3,72502,Master,Retail,Large,2025,Onsite,3.38,18,88.23224385,0.225,66,2.56,98.7,5,18,66,29,69,57,61,21,1,1.66,67
UK,Machine Learning Engineer,Forecasting,Entry,1,69600,Bachelor,Energy,Large,2023,Hybrid,3.44,15,56.40576398,0.359,67,2.18,85.55,14,27,81,48,66,43,85,21,48,1.09,73
Brazil,NLP Engineer,Reinforcement Learning,Lead,18,78784,Bootcamp,Retail,Small,2026,Hybrid,3.45,17,57.26912666,0,63,0.94,77.52,9,29,100,80,80,49,69,47,16,1.15,74
UAE,Data Analyst,Analytics,Entry,0,37254,Bootcamp,Retail,Startup,2022,Remote,3.31,23,61.41709956,0.268,58,8.48,86.96,8,23,9,34,60,62,86,48,20,1.06,67
Brazil,Data Analyst,Analytics,Mid,3,34818,Bootcamp,Finance,Startup,2026,Remote,3.44,12,66.38099489,0.183,70,0.49,99.46,7,25,5,97,69,52,49,51,12,1.58,54
India,AI Engineer,Analytics,Lead,16,70530,PhD,Healthcare,Enterprise,2026,Onsite,3.48,19,60.5264813,0.195,77,7.1,62.42,12,19,10,4,77,71,84,25,78,1.54,69
Netherlands,Computer Vision Engineer,Computer Vision,Mid,4,100474,Master,Education,Large,2024,Onsite,4.55,29,66.86746695,0.173,52,0.56,93.69,14,22,84,51,75,25,70,17,54,0.55,80
Netherlands,Machine Learning Engineer,Analytics,Mid,3,82042,Bootcamp,Telecom,Large,2026,Onsite,3.94,32,56.78765103,0.171,88,3.5,48.39,11,14,87,21,77,55,56,12,80,2.33,63
Netherlands,Machine Learning Engineer,Forecasting,Lead,17,194117,Diploma,Tech,Enterprise,2022,Onsite,3.7,11,51.33551853,0.107,79,7.76,80.23,9,20,87,86,84,71,60,46,40,0.6,77
Singapore,NLP Engineer,Computer Vision,Lead,16,153958,Bootcamp,Healthcare,Enterprise,2023,Hybrid,3.36,7,45.84080495,0.055,51,3.24,75.15,14,27,91,100,95,50,80,34,23,0.58,77
Australia,Data Scientist,Reinforcement Learning,Senior,6,91129,PhD,Retail,Enterprise,2022,Hybrid,4.63,8,70.86053206,0.134,77,3.75,70.36,4,11,76,92,73,65,77,56,5,0.81,72
Singapore,Data Analyst,Analytics,Lead,19,129715,PhD,Consulting,Large,2023,Onsite,3.8,12,91.96479069,0.077,87,3.38,94.49,12,30,30,86,78,64,52,88,73,0.71,68
UAE,NLP Engineer,Reinforcement Learning,Mid,2,80883,Master,Retail,Startup,2020,Remote,4.23,21,46.77863776,0.236,82,5.62,77.33,5,28,82,50,62,79,76,40,14,1.29,70
USA,Machine Learning Engineer,Reinforcement Learning,Lead,12,186781,Diploma,Gaming,Small,2020,Onsite,3.59,10,31.80110448,0,50,4.63,74.54,11,28,88,94,92,48,84,43,75,0.71,81
Japan,Data Analyst,Forecasting,Entry,1,52489,Diploma,Energy,Small,2021,Onsite,4.1,17,17.56060549,0.34,89,6.11,79.64,4,15,64,61,75,77,55,51,66,0.61,61
Japan,Machine Learning Engineer,NLP,Senior,10,140360,Bachelor,Consulting,Medium,2026,Onsite,4.38,5,27.76895474,0.119,75,0.27,63.06,8,30,21,8,84,40,54,38,24,1.75,73
Netherlands,AI Engineer,Generative AI,Mid,3,93146,Bachelor,Retail,Small,2022,Hybrid,4.55,14,51.79324519,0.231,87,7.94,62.73,4,11,32,10,64,80,60,29,53,1.74,68
Netherlands,AI Engineer,LLM,Lead,16,151113,Diploma,Finance,Enterprise,2024,Onsite,4.66,22,44.00008828,0.069,84,0.44,76.82,10,24,14,75,82,54,88,26,82,0.54,77
Singapore,Software Engineer AI,Analytics,Lead,18,215862,PhD,Telecom,Startup,2023,Hybrid,3.69,32,42.24428278,0.115,100,6.22,90.32,3,20,80,42,75,82,67,86,41,2.15,84
USA,Machine Learning Engineer,Forecasting,Lead,19,216386,Bootcamp,Telecom,Medium,2023,Hybrid,4.24,19,70.86375781,0.1,67,0.59,84.17,13,29,50,98,75,37,58,64,87,1.89,81
Brazil,Computer Vision Engineer,Forecasting,Mid,4,44308,Master,Telecom,Enterprise,2022,Hybrid,3.73,26,12.9807565,0.178,73,1.74,93.88,11,30,65,59,76,44,71,30,35,1.6,73
Australia,Research Scientist,Computer Vision,Mid,4,107623,Bootcamp,Tech,Large,2022,Hybrid,3.35,21,40.20732519,0.158,100,7.82,54.19,3,20,56,62,85,89,84,34,53,0.73,81
France,Computer Vision Engineer,Generative AI,Lead,13,140671,Bachelor,Finance,Enterprise,2023,Remote,4.64,24,28.95601155,0.102,67,8.36,88.84,6,16,47,79,86,63,72,12,35,0.75,82
Australia,Computer Vision Engineer,Analytics,Senior,7,136766,PhD,Telecom,Small,2025,Onsite,3.73,21,56.21371154,0.18,77,2.68,89.06,14,25,42,24,86,63,71,21,87,1.16,83
Singapore,Computer Vision Engineer,Reinforcement Learning,Lead,16,193803,Master,Automotive,Large,2020,Hybrid,3.28,16,59.08891746,0.147,78,3.07,75.82,6,21,30,39,83,66,63,58,63,0.59,84
Canada,Data Analyst,Analytics,Lead,14,109456,Bachelor,Education,Startup,2020,Remote,3.51,17,34.39038233,0,98,0.75,76.49,5,19,52,29,75,59,74,61,45,0.76,63
Japan,Data Analyst,LLM,Entry,1,42440,PhD,Automotive,Large,2022,Onsite,4.39,22,21.35734505,0.477,85,6.51,58.02,7,28,79,98,63,61,67,18,25,0.62,63
Canada,Computer Vision Engineer,Reinforcement Learning,Entry,1,83528,Master,Tech,Startup,2021,Remote,4.69,23,33.60062325,0.377,78,3.72,94.31,8,29,10,4,51,55,82,44,55,2.29,70
Australia,Research Scientist,Computer Vision,Senior,10,128772,Diploma,Energy,Startup,2025,Remote,3.87,22,28.54801337,0.157,71,8.03,96.36,10,14,5,23,68,60,83,43,76,2.11,92
UK,Computer Vision Engineer,LLM,Senior,9,122433,Master,Education,Large,2025,Hybrid,3.71,1,70.27380038,0.182,75,8.18,76.72,3,17,81,65,84,73,78,32,78,0.77,70
Japan,Software Engineer AI,Computer Vision,Mid,5,78601,Master,Tech,Large,2022,Onsite,4.46,10,52.89744939,0.233,90,2.12,86.08,7,17,26,47,64,68,61,50,62,0.89,71
USA,Software Engineer AI,Computer Vision,Entry,1,85274,PhD,Energy,Enterprise,2023,Hybrid,3.23,3,57.33828286,0.402,92,1.38,53.09,12,15,32,16,54,57,85,56,96,0.52,68
Brazil,Data Analyst,LLM,Lead,12,56988,Diploma,Healthcare,Enterprise,2026,Hybrid,4.48,24,80.06999858,0.099,62,3.18,46.56,11,12,5,85,83,51,58,33,4,0.96,56
Australia,Research Scientist,LLM,Entry,0,64909,Master,Energy,Medium,2025,Onsite,3.53,35,59.76197586,0.411,82,1.28,57.76,6,15,6,24,57,52,77,17,26,1.29,67
Netherlands,NLP Engineer,MLOps,Mid,4,86929,Master,Tech,Startup,2026,Remote,3.95,19,62.02385633,0.222,68,4.47,88.44,13,13,62,62,70,64,77,49,91,0.93,71
Germany,Research Scientist,MLOps,Senior,10,112983,Bachelor,Education,Medium,2025,Onsite,4.41,28,49.55781426,0,83,2.25,69.21,3,25,14,44,88,60,69,18,22,2.3,73
France,Machine Learning Engineer,MLOps,Entry,0,71374,Diploma,Gaming,Startup,2026,Hybrid,4.04,22,10.47289384,0.398,70,1.71,80.54,7,30,15,1,55,39,59,54,59,1.75,56
Japan,Software Engineer AI,LLM,Entry,1,59147,Diploma,Education,Small,2025,Hybrid,4.74,17,26.90912734,0.448,70,7.57,91.98,3,24,48,20,55,63,80,32,57,1.36,64
Netherlands,NLP Engineer,LLM,Mid,3,70512,Bachelor,Tech,Startup,2023,Hybrid,3.54,19,58.156222,0.181,74,8.92,61.63,9,27,85,7,67,72,56,44,24,2.15,60
Netherlands,Research Scientist,Computer Vision,Lead,19,191305,Bootcamp,Automotive,Medium,2021,Hybrid,4.66,26,79.18601028,0.07,64,3.49,86.12,5,24,47,99,90,55,51,30,56,1.53,82
Canada,Data Analyst,Reinforcement Learning,Senior,6,85948,Diploma,Automotive,Large,2023,Hybrid,3.24,4,82.05785453,0.103,29,5.49,55.92,11,27,97,50,83,28,62,19,28,2.18,72
Brazil,Machine Learning Engineer,MLOps,Entry,0,37406,PhD,Healthcare,Startup,2023,Hybrid,4.5,13,31.00858304,0.333,54,8.2,83.5,8,15,85,8,52,49,77,34,37,1.4,64
Netherlands,Research Scientist,NLP,Lead,13,156354,PhD,Tech,Small,2020,Hybrid,3.86,24,61.30742902,0.091,82,4.6,76.54,7,18,93,67,84,61,64,70,64,1.98,83
UAE,NLP Engineer,Generative AI,Lead,18,132818,Bootcamp,Automotive,Large,2026,Hybrid,4.24,1,44.16371405,0.076,79,1.47,56.2,5,23,100,39,89,52,87,65,11,0.67,83
France,Machine Learning Engineer,Forecasting,Mid,5,96197,Diploma,Automotive,Large,2025,Hybrid,3.91,11,51.28599174,0.18,86,3.61,99.55,6,21,69,76,80,69,69,25,27,0.54,81
Singapore,AI Engineer,LLM,Mid,2,79799,PhD,Gaming,Medium,2023,Hybrid,3.25,15,50.64061329,0.206,90,3.93,46,11,28,100,40,71,66,89,12,24,0.6,79
USA,Computer Vision Engineer,Forecasting,Lead,14,165693,Bootcamp,Tech,Medium,2022,Remote,4.54,26,81.6406688,0.053,79,5.08,80.81,9,14,50,62,81,57,84,32,35,1.64,76
UAE,Software Engineer AI,Reinforcement Learning,Senior,6,72956,Bachelor,Retail,Large,2024,Remote,4.32,16,37.85766218,0.05,84,7.75,70.21,13,18,18,45,82,69,68,19,98,1.84,73
Singapore,AI Engineer,Generative AI,Senior,9,141549,Bachelor,Gaming,Small,2020,Hybrid,3.63,13,80.67377789,0.1,77,4.33,98.98,6,17,77,61,80,58,67,45,22,1.5,82
India,Software Engineer AI,Generative AI,Mid,2,28000,Bachelor,Education,Startup,2021,Onsite,3.65,23,66.33804236,0.243,63,2.67,54.73,10,30,89,18,72,37,68,36,42,2.24,60
Singapore,Data Scientist,LLM,Lead,13,175566,Bachelor,Retail,Medium,2023,Hybrid,3.62,10,37.27856935,0.054,81,5.07,92.13,8,12,48,8,93,59,60,54,77,0.79,88
Canada,Data Analyst,LLM,Entry,1,47423,Bootcamp,Energy,Small,2024,Remote,4.28,18,48.05296465,0.322,79,7.94,97.13,11,30,4,43,57,63,84,37,36,0.61,58
Australia,Software Engineer AI,Generative AI,Senior,9,116342,Bootcamp,Healthcare,Small,2021,Hybrid,4.12,23,87.03070662,0.039,92,9.26,49.34,8,23,88,96,99,82,95,26,42,2.21,85
Netherlands,Software Engineer AI,Analytics,Lead,12,140469,Bachelor,Automotive,Enterprise,2024,Onsite,3.59,19,51.28571928,0.115,56,8.37,79.57,8,17,94,68,76,65,83,66,62,0.79,71
Germany,Computer Vision Engineer,Forecasting,Lead,19,141952,PhD,Retail,Large,2022,Hybrid,3.27,21,74.5906983,0.106,59,0.7,80.59,6,21,21,60,82,42,48,71,78,0.94,66
France,AI Engineer,LLM,Lead,12,116664,Bootcamp,Tech,Enterprise,2022,Hybrid,4.64,13,62.78699206,0.122,71,7.66,78.49,5,25,48,38,81,65,79,20,26,1.66,87
France,Software Engineer AI,NLP,Mid,4,74853,Diploma,Education,Large,2023,Onsite,3.3,26,35.87039834,0.161,68,2.3,49.32,14,28,47,70,78,53,80,20,69,1.11,62
Germany,Data Analyst,Computer Vision,Lead,16,96231,Bootcamp,Healthcare,Large,2024,Hybrid,4.72,11,100,0.043,67,3.13,60.94,12,25,71,13,79,47,68,54,99,2.31,71
France,NLP Engineer,Forecasting,Mid,3,84648,Master,Consulting,Startup,2024,Hybrid,4.19,28,40.08412057,0.174,68,2.49,99.26,3,22,14,65,64,46,75,63,18,1.72,67
USA,AI Engineer,Forecasting,Mid,2,87563,Diploma,Automotive,Small,2026,Onsite,4.47,28,40.12807315,0.227,100,8.68,74,13,12,14,60,77,72,84,38,25,1.77,78
Japan,Computer Vision Engineer,Reinforcement Learning,Entry,0,63768,Bootcamp,Healthcare,Small,2026,Onsite,4.53,23,57.0706745,0.45,76,2.84,72.76,3,26,8,35,69,43,63,22,52,0.94,63
Canada,AI Engineer,Reinforcement Learning,Senior,11,115300,Diploma,Tech,Medium,2025,Hybrid,4.43,19,39.4791602,0.17,70,4.72,59.32,5,24,92,63,95,46,62,76,36,0.87,73
UAE,Data Scientist,NLP,Entry,0,52385,Bootcamp,Gaming,Small,2026,Hybrid,3.81,15,85.16544953,0.396,87,5.38,55.37,10,15,9,100,59,63,78,48,52,1.66,65
USA,Machine Learning Engineer,Computer Vision,Entry,0,90204,Bootcamp,Healthcare,Startup,2021,Remote,3.73,16,59.31424416,0.286,66,4.17,45.72,6,20,37,95,61,53,59,49,65,1.39,72
UK,Data Analyst,Computer Vision,Lead,18,124163,Bootcamp,Retail,Startup,2021,Hybrid,4.46,1,53.36820749,0.036,67,4.24,71.34,5,21,79,66,72,58,41,44,29,0.66,60
Brazil,Research Scientist,Analytics,Mid,5,63224,Diploma,Consulting,Large,2025,Onsite,3.56,12,22.21174509,0.147,72,1.96,75.31,10,20,38,6,78,58,62,12,56,2.09,77
Singapore,Data Scientist,MLOps,Senior,11,128596,PhD,Telecom,Small,2021,Hybrid,4.35,14,46.01473869,0.182,85,9,85.13,9,20,11,39,77,84,48,32,56,0.72,70
Singapore,Data Scientist,Analytics,Lead,15,147134,Master,Gaming,Enterprise,2026,Onsite,3.54,13,44.42761185,0.142,84,7.86,60.34,7,19,93,84,73,72,78,50,13,2.39,76
UK,Software Engineer AI,Computer Vision,Lead,14,132458,Bachelor,Consulting,Enterprise,2026,Onsite,4.65,29,42.53989388,0.105,49,3.19,92.54,12,16,57,92,83,39,72,49,3,1.4,79
Singapore,NLP Engineer,Analytics,Senior,8,138282,Bootcamp,Tech,Small,2020,Hybrid,3.9,10,25.26224841,0.106,68,8.36,45.55,3,23,44,1,86,64,89,24,69,1.47,88
India,Software Engineer AI,Computer Vision,Senior,10,40436,PhD,Finance,Enterprise,2020,Hybrid,3.9,15,39.19685609,0.152,75,9.35,64.63,5,25,30,94,86,68,88,12,10,0.72,83
Singapore,Data Scientist,Reinforcement Learning,Senior,8,139736,PhD,Retail,Enterprise,2022,Hybrid,4.27,16,62.29813295,0.065,71,6.34,76.57,5,13,11,55,85,76,78,43,36,2.2,85
France,NLP Engineer,Generative AI,Entry,0,60987,Master,Telecom,Small,2022,Onsite,3.29,7,64.30829543,0.383,84,0.23,91.93,13,12,88,18,49,49,53,31,52,0.79,56
India,Computer Vision Engineer,Reinforcement Learning,Senior,8,49593,Bachelor,Healthcare,Medium,2026,Hybrid,4.47,20,64.5427909,0.05,81,6.89,62.86,3,13,12,16,90,72,55,49,64,1.97,71
Canada,Research Scientist,NLP,Lead,12,150444,Diploma,Healthcare,Enterprise,2021,Hybrid,4.34,28,28.59361211,0.081,87,1.44,74.09,4,26,77,30,80,59,71,23,57,1.12,83
Netherlands,Software Engineer AI,NLP,Lead,14,168974,Master,Automotive,Small,2024,Remote,3.43,14,26.25588112,0.239,72,5.99,52.88,12,28,74,25,73,58,60,44,53,0.69,74
Netherlands,Software Engineer AI,Reinforcement Learning,Lead,13,116131,Bachelor,Education,Large,2026,Remote,3.77,33,51.09992719,0.071,91,8.6,48.59,10,28,14,34,87,77,82,52,7,1.18,88
Canada,Data Scientist,Computer Vision,Lead,13,147704,Bachelor,Energy,Medium,2022,Hybrid,3.72,16,31.24154913,0.125,83,6.14,52.45,9,24,84,83,95,73,72,70,79,2.36,77
India,Software Engineer AI,Reinforcement Learning,Lead,12,52384,PhD,Retail,Startup,2025,Onsite,4.53,13,67.65904703,0.079,77,1.64,53.43,4,17,18,30,73,52,75,75,49,1.82,70
France,Data Scientist,MLOps,Entry,0,63126,Bachelor,Consulting,Small,2024,Hybrid,4.16,19,56.81029963,0.287,62,6.21,97.92,7,28,98,59,66,50,93,46,52,0.98,74
France,Computer Vision Engineer,Computer Vision,Lead,18,167673,Diploma,Retail,Startup,2020,Remote,4.35,36,59.04723456,0.116,85,3.99,93.17,8,12,83,67,76,57,41,61,15,1.54,70
UAE,Machine Learning Engineer,Computer Vision,Lead,14,123696,Bootcamp,Telecom,Enterprise,2025,Remote,3.69,2,45.47180611,0.048,39,3.94,79.38,14,19,31,12,92,54,62,27,25,1.47,66
Singapore,Computer Vision Engineer,Forecasting,Mid,4,92691,Diploma,Finance,Large,2026,Hybrid,4.08,19,80.07714344,0.196,60,2.05,50.53,14,11,90,1,71,34,72,38,77,0.54,76
UK,Machine Learning Engineer,Reinforcement Learning,Entry,0,69272,Bootcamp,Tech,Startup,2026,Onsite,4.32,21,65.85615195,0.415,60,1.27,46.88,7,30,33,24,52,31,63,34,26,1.73,61
UAE,NLP Engineer,NLP,Lead,19,161683,PhD,Finance,Medium,2025,Hybrid,4.05,13,65.48844696,0.124,89,4.52,70.75,3,30,77,49,70,62,62,75,60,1.31,76
Australia,AI Engineer,Computer Vision,Lead,12,167452,Bachelor,Energy,Startup,2024,Hybrid,3.24,15,47.58498997,0.138,69,3.8,56.52,6,24,96,75,67,46,61,63,79,2,84
Australia,Research Scientist,Analytics,Entry,1,88933,Bootcamp,Healthcare,Medium,2026,Onsite,4.09,8,39.90970523,0.381,64,4.56,73.97,11,29,72,22,54,55,59,30,99,1.09,63
Singapore,NLP Engineer,Analytics,Mid,5,116849,Diploma,Energy,Large,2024,Remote,4.35,23,66.38424565,0.213,68,5.99,95.39,12,17,73,74,81,58,76,47,2,1.12,73
India,Machine Learning Engineer,MLOps,Mid,3,38741,Bootcamp,Finance,Startup,2026,Onsite,3.56,12,26.79935701,0.168,70,9.24,84.92,5,18,20,80,70,59,65,42,93,1.65,63
Brazil,Machine Learning Engineer,MLOps,Entry,0,37716,Bachelor,Education,Medium,2020,Onsite,3.68,11,49.09198151,0.473,58,3.62,67.73,11,19,60,22,47,33,56,31,1,2.18,51
Australia,Data Scientist,Analytics,Entry,1,76827,Bachelor,Automotive,Small,2022,Hybrid,4.7,9,57.84790673,0.347,59,4.15,64.03,7,18,35,90,69,48,52,24,49,1.78,60
Germany,NLP Engineer,Analytics,Mid,2,77820,Master,Automotive,Medium,2023,Hybrid,3.56,15,41.19476323,0.266,95,9.34,67.02,11,27,74,45,77,86,69,35,44,1.38,68
Germany,Data Analyst,NLP,Mid,3,52497,PhD,Automotive,Small,2025,Remote,4.18,25,100,0.245,60,2.66,88.23,3,18,9,63,78,46,66,12,69,1.87,66
Singapore,Machine Learning Engineer,MLOps,Entry,0,66897,Bootcamp,Gaming,Small,2022,Hybrid,3.4,16,52.66447609,0.348,80,8.15,95.4,6,28,38,62,69,74,82,13,77,1.66,77
Brazil,Data Scientist,Analytics,Lead,18,69698,Diploma,Energy,Medium,2022,Onsite,4.62,15,71.05679746,0.189,59,5.61,73.23,10,18,23,99,75,49,81,46,81,1.42,73
Brazil,AI Engineer,Computer Vision,Entry,1,38106,Master,Automotive,Enterprise,2022,Remote,3.63,25,69.51359651,0.451,84,5.85,61.1,12,16,89,20,52,62,78,36,73,1.21,75
USA,AI Engineer,Reinforcement Learning,Lead,19,192036,Diploma,Healthcare,Startup,2025,Hybrid,3.71,20,40.52081399,0.102,77,5.63,50.37,3,16,16,26,69,68,53,87,78,1.7,80
Japan,Machine Learning Engineer,MLOps,Lead,18,199523,Master,Consulting,Small,2024,Onsite,3.8,7,18.62109688,0,84,7.99,73.93,13,12,72,6,98,76,64,48,95,2.32,96
France,Research Scientist,Generative AI,Lead,13,173175,PhD,Automotive,Startup,2026,Remote,4.24,19,38.48721279,0.109,62,8.92,62.71,11,16,44,71,78,72,47,69,96,1.03,77
Canada,Data Scientist,LLM,Mid,4,72275,Bootcamp,Healthcare,Large,2022,Onsite,4.11,12,32.55358268,0.202,82,5.09,61.02,7,10,44,49,75,61,71,33,3,2.36,70
Australia,NLP Engineer,MLOps,Senior,10,114205,Bootcamp,Healthcare,Small,2025,Onsite,4.65,24,79.18140649,0.084,73,4.28,80.95,13,14,100,31,89,52,74,29,26,1.37,78
Japan,Software Engineer AI,MLOps,Lead,19,143420,PhD,Telecom,Large,2023,Remote,3.73,26,68.79908686,0.103,63,0.32,73.42,7,12,66,13,86,44,72,40,74,1.31,76
India,NLP Engineer,Generative AI,Lead,19,79862,Diploma,Consulting,Large,2022,Remote,4.57,11,69.55914355,0.087,71,2.5,68.68,6,23,61,63,71,51,69,70,97,1.63,77
UK,NLP Engineer,Reinforcement Learning,Mid,5,87913,Diploma,Education,Small,2025,Hybrid,3.75,1,68.13301301,0.235,90,3.33,79.89,3,30,88,49,73,65,83,39,42,1.44,73
Japan,Software Engineer AI,Forecasting,Lead,18,135367,Diploma,Consulting,Small,2020,Remote,4.31,19,75.93753652,0.051,75,4.5,99.78,12,15,17,76,94,62,57,37,78,0.6,83
India,Research Scientist,Reinforcement Learning,Mid,4,47953,Diploma,Energy,Startup,2022,Hybrid,4.12,24,65.4145028,0.119,72,7.33,47,11,20,35,45,66,59,52,44,88,1.36,71
India,AI Engineer,LLM,Mid,2,34730,Diploma,Healthcare,Small,2020,Hybrid,3.24,19,48.66569231,0.241,87,6.34,96.49,3,19,13,99,65,69,75,12,89,2.39,56
France,Research Scientist,MLOps,Mid,4,85358,Master,Tech,Startup,2022,Hybrid,3.33,36,85.59838034,0.191,85,1.25,46.32,10,17,73,21,61,48,55,66,82,0.78,63
India,Data Analyst,NLP,Lead,13,44939,Master,Retail,Enterprise,2024,Hybrid,4.17,26,54.53222557,0.115,84,6.47,86.78,5,27,70,42,83,74,80,67,69,2.2,74
India,Data Analyst,MLOps,Senior,10,41639,Bachelor,Education,Medium,2021,Hybrid,3.82,15,57.80282748,0.048,79,8.96,89.55,5,28,56,54,94,87,79,33,36,2.15,75
UAE,Machine Learning Engineer,MLOps,Senior,10,107847,Bachelor,Telecom,Large,2025,Onsite,4.04,21,11.98333735,0.087,45,2.31,50.17,4,21,50,71,91,32,75,22,52,1.75,84
Canada,Software Engineer AI,Computer Vision,Mid,5,108470,PhD,Automotive,Medium,2024,Onsite,4.27,20,61.51316602,0.218,82,8.83,51.6,12,24,17,79,84,83,81,12,28,2.31,79
India,NLP Engineer,MLOps,Lead,15,66437,Bachelor,Telecom,Enterprise,2022,Onsite,4.59,14,42.99562128,0.038,87,5.88,81.65,13,25,11,35,78,71,85,12,11,0.87,71
Japan,Computer Vision Engineer,MLOps,Entry,0,57604,Bootcamp,Consulting,Small,2022,Remote,3.89,15,48.81212007,0.366,89,9.17,95.99,6,16,88,70,68,87,56,12,67,2.36,67
Singapore,Computer Vision Engineer,Generative AI,Entry,0,63153,Bachelor,Automotive,Startup,2021,Onsite,3.56,16,64.83116906,0.323,57,0.32,56.58,5,29,93,70,43,25,45,35,23,0.99,62
